appName,link,tags
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic,"Co-op,PvE,FPS,Exploration,Procedural Generation,Shooter,Loot,Class-Based,First-Person,Sci-fi,Space,Action,Looter Shooter,Atmospheric,Combat,Horror,Survival,Action Roguelike,Dark,Open World"
Barotrauma,https://store.steampowered.com/app/602960/Barotrauma,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Underwater,Simulation,Horror,Sci-fi,Management,Strategy,Action,Difficult,Gore,Moddable,Violent,Singleplayer,Early Access,Naval"
Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest,"Survival,Open World,Multiplayer,Survival Horror,Co-op,Base Building,Crafting,Horror,First-Person,Exploration,Adventure,Building,Singleplayer,Atmospheric,Action-Adventure,Sandbox,Action,Simulation,Early Access,Immersive Sim"
Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms,"Horror,Multiplayer,Psychological Horror,Online Co-Op,First-Person,Survival Horror,Co-op,Adventure,Exploration,Action,Indie,Early Access,3D,VR,Escape Room,Singleplayer,Action-Adventure,Casual,Stealth,Dungeon Crawler"
Squad,https://store.steampowered.com/app/393380/Squad,"Military,Realistic,FPS,Multiplayer,Team-Based,Tactical,Shooter,War,First-Person,Action,Massively Multiplayer,Strategy,Modern,Base Building,Simulation,Wargame,Open World,Immersive Sim,Atmospheric,PvP"
Valheim,https://store.steampowered.com/app/892970/Valheim,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Sandbox,Adventure,Mythology,RPG,Early Access,Action,PvE,Indie,Singleplayer,Third Person"
Raft,https://store.steampowered.com/app/648800/Raft,"Survival,Open World Survival Craft,Multiplayer,Co-op,Crafting,Open World,Building,Base Building,Online Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Early Access,Underwater,Simulation,Action,Indie,Strategy,Massively Multiplayer"
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure"
Techtonica,https://store.steampowered.com/app/1457320/Techtonica,"Simulation,Automation,Strategy,Building,Base Building,City Builder,Resource Management,Sandbox,Crafting,Management,Exploration,Immersive Sim,First-Person,Colorful,Sci-fi,Co-op,Multiplayer,Online Co-Op,Singleplayer,Early Access"
STALCRAFT,https://store.steampowered.com/app/1818450/STALCRAFT,"Free to Play,FPS,Action,MMORPG,Adventure,Shooter,Atmospheric,First-Person,Looter Shooter,Horror,RPG,PvP,Massively Multiplayer,Combat,Tactical,Story Rich,Team-Based,Multiplayer,Alternate History,PvE"
ASTRONEER,https://store.steampowered.com/app/361420/ASTRONEER,"Multiplayer,Open World,Open World Survival Craft,Space,Survival,Exploration,Base Building,Co-op,Sandbox,Adventure,Building,Crafting,Sci-fi,Automation,Singleplayer,Colorful,Third Person,Atmospheric,Simulation,Indie"
,https://store.steampowered.com/agecheck/app/218620,
Tiny Bunny,https://store.steampowered.com/app/1421250/Tiny_Bunny,"Visual Novel,Horror,Atmospheric,Story Rich,Dark,Psychological Horror,Choices Matter,Singleplayer,2D,Gore,Adventure,Interactive Fiction,Point & Click,Violent,Mature,Anime,Cute,Great Soundtrack,Early Access,Indie"
ONE PIECE World Seeker,https://store.steampowered.com/app/755500/ONE_PIECE_World_Seeker,"Action,Adventure,Anime,Open World,Singleplayer,Pirates,Multiplayer,Fighting,RPG,Co-op,JRPG,Third Person,Story Rich,Fantasy"
,https://store.steampowered.com/agecheck/app/582660,
